0	60
0	90
0	120
0	150
0	180
0	210
0	240
0	270
0	300
30	30
30	60
30	90
30	120
30	150
30	180
30	210
30	240
30	270
30	300
60	0
60	60
60	90
60	120
60	150
60	180
60	210
60	240
60	270
60	300
60	330
90	90
90	120
90	150
90	180
90	210
90	240
90	270
90	300
120	60
120	90
120	120
120	150
120	180
120	210
120	240
120	270
120	300
150	60
150	90
150	120
150	150
150	180
150	210
150	240
150	270
180	0
180	30
180	60
180	90
180	120
180	150
180	180
180	210
180	240
180	270
180	300
210	0
210	30
210	60
210	90
210	120
210	150
210	180
210	210
210	240
210	270
210	300
210	330
240	0
240	30
240	60
240	90
240	120
240	150
240	180
240	210
240	240
240	270
240	300
240	330
270	0
270	30
270	60
270	90
270	120
270	150
270	180
270	210
270	240
270	270
270	300
270	330
300	0
300	30
300	60
300	90
300	120
300	150
300	180
300	210
300	240
300	270
300	300
300	330
330	60
330	90
330	120
330	150
330	180
330	210
330	240
330	270
330	300
330	330
